00A9	copyright
00AE	registered
203C	double_exclamation_mark
2049	exclamation_question_mark
2122	trade_mark
2139	information
2194	left-right_arrow
2195	up-down_arrow
2196	up-left_arrow
2197	up-right_arrow
2198	down-right_arrow
2199	down-left_arrow
21A9	right_arrow_curving_left
21AA	left_arrow_curving_right
231A	watch
231B	hourglass_done
2328	keyboard
23CF	eject_button
23E9	fast-forward_button
23EA	fast_reverse_button
23EB	fast_up_button
23EC	fast_down_button
23ED	next_track_button
23EE	last_track_button
23EF	play_or_pause_button
23F0	alarm_clock
23F1	stopwatch
23F2	timer_clock
23F3	hourglass_not_done
23F8	pause_button
23F9	stop_button
23FA	record_button
24C2	circled_m
25AA	black_small_square
25AB	white_small_square
25B6	play_button
25C0	reverse_button
25FB	white_medium_square
25FC	black_medium_square
25FD	white_medium-small_square
25FE	black_medium-small_square
2600	sun
2601	cloud
2602	umbrella
2603	snowman
2604	comet
260E	telephone
2611	check_box_with_check
2614	umbrella_with_rain_drops
2615	hot_beverage
2618	shamrock
261D	index_pointing_up
2620	skull_and_crossbones
2622	radioactive
2623	biohazard
2626	orthodox_cross
262A	star_and_crescent
262E	peace_symbol
262F	yin_yang
2638	wheel_of_dharma
2639	frowning_face
263A	smiling_face
2640	female
2642	male
2648	aries
2649	taurus
264A	gemini
264B	cancer
264C	leo
264D	virgo
264E	libra
264F	scorpio
2650	sagittarius
2651	capricorn
2652	aquarius
2653	pisces
265F	chess_pawn
2660	spade_suit
2663	club_suit
2665	heart_suit
2666	diamond_suit
2668	hot_springs
267B	recycling_symbol
267E	infinity
267F	wheelchair_symbol
2692	hammer_and_pick
2693	anchor
2694	crossed_swords
2695	medical_symbol
2696	balance_scale
2697	alembic
2699	gear
269B	atom_symbol
269C	fleur-de-lis
26A0	warning
26A1	high_voltage
26AA	white_circle
26AB	black_circle
26B0	coffin
26B1	funeral_urn
26BD	soccer_ball
26BE	baseball
26C4	snowman_without_snow
26C5	sun_behind_cloud
26C8	cloud_with_lightning_and_rain
26CE	ophiuchus
26CF	pick
26D1	rescue_worker_helmet
26D3	chains
26D4	no_entry
26E9	shinto_shrine
26EA	church
26F0	mountain
26F1	umbrella_on_ground
26F2	fountain
26F3	flag_in_hole
26F4	ferry
26F5	sailboat
26F7	skier
26F8	ice_skate
26F9	basketballer
26FA	tent
26FD	fuel_pump
2702	scissors
2705	check_mark_button
2708	airplane
2709	envelope
270A	raised_fist
270B	raised_hand
270C	victory_hand
270D	writing_hand
270F	pencil
2712	black_nib
2714	check_mark
2716	multiplication_sign
271D	latin_cross
2721	star_of_david
2728	sparkles
2733	eight-spoked_asterisk
2734	eight-pointed_star
2744	snowflake
2747	sparkle
274C	cross_mark
274E	cross_mark_button
2753	question_mark
2754	white_question_mark
2755	white_exclamation_mark
2757	exclamation_mark
2763	heart_exclamation
2764	red_heart
2795	plus_sign
2796	minus_sign
2797	division_sign
27A1	right_arrow
27B0	curly_loop
27BF	double_curly_loop
2934	right_arrow_curving_up
2935	right_arrow_curving_down
2B05	left_arrow
2B06	up_arrow
2B07	down_arrow
2B1B	black_large_square
2B1C	white_large_square
2B50	star
2B55	hollow_red_circle
3030	wavy_dash
303D	part_alternation_mark
3297	japanese_congratulations_button
3299	japanese_secret_button
1F004	mahjong_red_dragon
1F0CF	joker
1F170	a_button_(blood_type)
1F171	b_button_(blood_type)
1F17E	o_button_(blood_type)
1F17F	p_button
1F18E	ab_button_(blood_type)
1F191	cl_button
1F192	cool_button
1F193	free_button
1F194	id_button
1F195	new_button
1F196	ng_button
1F197	ok_button
1F198	sos_button
1F199	up!_button
1F19A	vs_button
1F201	japanese_here_button
1F202	japanese_service_charge_button
1F21A	japanese_free_of_charge_button
1F22F	japanese_reserved_button
1F232	japanese_prohibited_button
1F233	japanese_vacancy_button
1F234	japanese_passing_grade_button
1F235	japanese_no_vacancy_button
1F236	japanese_not_free_of_charge_button
1F237	japanese_monthly_amount_button
1F238	japanese_application_button
1F239	japanese_discount_button
1F23A	japanese_open_for_business_button
1F250	japanese_bargain_button
1F251	japanese_acceptable_button
1F300	cyclone
1F301	foggy
1F302	closed_umbrella
1F303	night_with_stars
1F304	sunrise_over_mountains
1F305	sunrise
1F306	cityscape_at_dusk
1F307	sunset
1F308	rainbow
1F309	bridge_at_night
1F30A	water_wave
1F30B	volcano
1F30C	milky_way
1F30D	globe__europe-africa
1F30E	globe__americas
1F30F	globe__asia-australia
1F310	globe_with_meridians
1F311	new_moon
1F312	waxing_crescent_moon
1F313	first_quarter_moon
1F314	waxing_gibbous_moon
1F315	full_moon
1F316	waning_gibbous_moon
1F317	last_quarter_moon
1F318	waning_crescent_moon
1F319	crescent_moon
1F31A	new_moon_face
1F31B	first_quarter_moon_face
1F31C	last_quarter_moon_face
1F31D	full_moon_face
1F31E	sun_with_face
1F31F	glowing_star
1F320	shooting_star
1F321	thermometer
1F324	sun_behind_small_cloud
1F325	sun_behind_large_cloud
1F326	sun_behind_rain_cloud
1F327	cloud_with_rain
1F328	cloud_with_snow
